pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_inverse_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,selection_role
136,ST003__ST032,3,ST003,배곧한울공원,32,ST032,희망공원,2946.0,2.946,2.474419063810549,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.664390229,PRELIMINARY_90M,0.12500530402681717,0.40413526335350114,0.40413526335350114,0.0,0.11073170483333333,0.1599680680534129,SCENARIO_MST
1409,ST043__ST045,43,ST043,시흥종합버스터미널,45,ST045,시흥중앙도서관,671.0,0.671,3.1817228022763167,0.300402098,0.300402098,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.425583211,PRELIMINARY_90M,0.028472015954512667,0.31429513573104634,0.31429513573104634,0.300402098,0.07093053516666667,0.17852494621305642,SCENARIO_MST
1224,ST032__ST047,32,ST032,희망공원,47,ST047,배곧2동행정복지센터,4347.0,4.347,3.0270902313068655,0.040631434,0.040631434,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.009713027,PRELIMINARY_90M,0.1844528365935418,0.33035024514887906,0.33035024514887906,0.040631434,0.16828550450000002,0.18093000506060522,SCENARIO_MST
1226,ST032__ST049,32,ST032,희망공원,49,ST049,거북섬 웨이브파크 정문,4499.0,4.499,3.070219818149316,0.042639664,0.042639664,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.994963213,PRELIMINARY_90M,0.19090253320320788,0.32570957756464014,0.32570957756464014,0.042639664,0.16582720216666666,0.18126974423362868,SCENARIO_MST
108,ST003__ST004,3,ST003,배곧한울공원,4,ST004,배곧중심상가,4685.0,4.685,2.9330495193194137,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.18657571,PRELIMINARY_90M,0.19879492510714133,0.340942078684045,0.340942078684045,0.0,0.19776261833333333,0.18437490553112992,SCENARIO_MST
1242,ST033__ST043,33,ST033,타원산업단지,43,ST043,시흥종합버스터미널,2934.0,2.934,2.565523484039041,0.07531911,0.07531911,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.889229462,PRELIMINARY_90M,0.12449611745236984,0.3897839977771891,0.3897839977771891,0.07531911,0.14820491033333333,0.1844510338907231,SCENARIO_MST
1248,ST033__ST049,33,ST033,타원산업단지,49,ST049,거북섬 웨이브파크 정문,6473.0,6.473,3.047600158788452,0.029639496,0.029639496,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.648130457,PRELIMINARY_90M,0.27466372469979206,0.3281270336977347,0.3281270336977347,0.029639496,0.10802174283333334,0.18511299930771502,SCENARIO_MST
259,ST005__ST054,5,ST005,배곧중·고등학교,54,ST054,시흥 프리미엄 아울렛,1508.0,1.508,1.711681176130996,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.623743217,PRELIMINARY_90M,0.06398777952221327,0.5842209483546189,0.5842209483546189,0.0,0.10395720283333333,0.18804148267754137,SCENARIO_MST
115,ST003__ST011,3,ST003,배곧한울공원,11,ST011,배곧생명공원,4442.0,4.442,2.929381135965357,0.030002831,0.030002831,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.252044916,PRELIMINARY_90M,0.1884838969745831,0.3413690310634355,0.3413690310634355,0.030002831,0.20867415266666667,0.19213247792617133,SCENARIO_MST
1145,ST029__ST040,29,ST029,관곡공원,40,ST040,갯골생태공원,3173.0,3.173,2.6002442194967386,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.529257702,PRELIMINARY_90M,0.13463741672677898,0.38457926086402144,0.38457926086402144,0.0,0.25487628366666665,0.1935232403143668,SCENARIO_MST
