pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_inverse_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,selection_role
1409,ST043__ST045,43,ST043,시흥종합버스터미널,45,ST045,시흥중앙도서관,671.0,0.671,3.1817228022763167,0.300402098,0.300402098,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.425583211,PRELIMINARY_90M,0.055986649979140594,0.31429513573104634,0.31429513573104634,0.300402098,0.07093053516666667,0.1854036047192134,SCENARIO_MST
136,ST003__ST032,3,ST003,배곧한울공원,32,ST032,희망공원,2946.0,2.946,2.474419063810549,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.664390229,PRELIMINARY_90M,0.2458072590738423,0.40413526335350114,0.40413526335350114,0.0,0.11073170483333333,0.1901685568151692,SCENARIO_MST
259,ST005__ST054,5,ST005,배곧중·고등학교,54,ST054,시흥 프리미엄 아울렛,1508.0,1.508,1.711681176130996,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.623743217,PRELIMINARY_90M,0.12582394659991655,0.5842209483546189,0.5842209483546189,0.0,0.10395720283333333,0.2035005244469672,SCENARIO_MST
151,ST003__ST047,3,ST003,배곧한울공원,47,ST047,배곧2동행정복지센터,2142.0,2.142,2.998593533213879,0.082490603,0.082490603,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.45164868,PRELIMINARY_90M,0.17872340425531916,0.3334896807198155,0.3334896807198155,0.082490603,0.24194144666666664,0.2091612836604503,SCENARIO_MST
1242,ST033__ST043,33,ST033,타원산업단지,43,ST043,시흥종합버스터미널,2934.0,2.934,2.565523484039041,0.07531911,0.07531911,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.889229462,PRELIMINARY_90M,0.24480600750938675,0.3897839977771891,0.3897839977771891,0.07531911,0.14820491033333333,0.21452850640497728,SCENARIO_MST
1243,ST033__ST044,33,ST033,타원산업단지,44,ST044,경기과학기술대학교,1598.0,1.598,1.7010597777371803,0.123630586,0.123630586,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.331684145,PRELIMINARY_90M,0.13333333333333333,0.5878688174793252,0.5878688174793252,0.123630586,0.05528069083333333,0.22502835691149795,SCENARIO_MST
1145,ST029__ST040,29,ST029,관곡공원,40,ST040,갯골생태공원,3173.0,3.173,2.6002442194967386,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.529257702,PRELIMINARY_90M,0.26474760116812684,0.38457926086402144,0.38457926086402144,0.0,0.25487628366666665,0.22605078642470372,SCENARIO_MST
1226,ST032__ST049,32,ST032,희망공원,49,ST049,거북섬 웨이브파크 정문,4499.0,4.499,3.070219818149316,0.042639664,0.042639664,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.994963213,PRELIMINARY_90M,0.37538589904046726,0.32570957756464014,0.32570957756464014,0.042639664,0.16582720216666666,0.22739058569294351,SCENARIO_MST
1448,ST046__ST054,46,ST046,배곧1동행정복지센터,54,ST054,시흥 프리미엄 아울렛,1087.0,1.087,2.0,0.198910149,0.198910149,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.722410179,PRELIMINARY_90M,0.09069670421360033,0.5,0.5,0.198910149,0.1204016965,0.2275021374284001,SCENARIO_MST
1210,ST032__ST033,32,ST032,희망공원,33,ST033,타원산업단지,2081.0,2.081,1.4965117896209403,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.481788461,PRELIMINARY_90M,0.17363370880267,0.6682205960123411,0.6682205960123411,0.0,0.08029807683333333,0.2305380954120861,SCENARIO_MST
1,ST001__ST002,1,ST001,월곶역,2,ST002,월곶포구,619.0,0.619,1.5532421960245575,0.149164241,0.149164241,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.47799073,PRELIMINARY_90M,0.05164789319983312,0.6438145979805647,0.6438145979805647,0.149164241,0.07966512166666666,0.23107296346176612,SCENARIO_MST
880,ST020__ST045,20,ST020,시화공업단지[왼쪽부근],45,ST045,시흥중앙도서관,1373.0,1.373,2.951996349336429,0.38168565,0.38168565,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548337,PRELIMINARY_90M,0.1145598664997914,0.3387538064621209,0.3387538064621209,0.38168565,0.0913895,0.23159720574047807,SCENARIO_MST
108,ST003__ST004,3,ST003,배곧한울공원,4,ST004,배곧중심상가,4685.0,4.685,2.9330495193194137,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.18657571,PRELIMINARY_90M,0.3909052982895286,0.340942078684045,0.340942078684045,0.0,0.19776261833333333,0.23240249882672673,SCENARIO_MST
115,ST003__ST011,3,ST003,배곧한울공원,11,ST011,배곧생명공원,4442.0,4.442,2.929381135965357,0.030002831,0.030002831,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.252044916,PRELIMINARY_90M,0.3706299541093033,0.3413690310634355,0.3413690310634355,0.030002831,0.20867415266666667,0.23766899220985138,SCENARIO_MST
934,ST022__ST032,22,ST022,오이도박물관,32,ST032,희망공원,2894.0,2.894,2.88457420094931,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.242877844,PRELIMINARY_90M,0.24146850229453484,0.3466716160987993,0.3466716160987993,0.0,0.373812974,0.24048827309833354,SCENARIO_MST
53,ST001__ST054,1,ST001,월곶역,54,ST054,시흥 프리미엄 아울렛,3069.0,3.069,2.971566575272677,0.131704676,0.131704676,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.446878915,PRELIMINARY_90M,0.2560700876095119,0.3365228322061867,0.3365228322061867,0.131704676,0.24114648583333334,0.24136102041225796,SCENARIO_MST
209,ST004__ST054,4,ST004,배곧중심상가,54,ST054,시흥 프리미엄 아울렛,3518.0,3.518,3.9115620934849367,0.174673018,0.174673018,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.470188615,PRELIMINARY_90M,0.29353358364622445,0.25565233942357485,0.25565233942357485,0.174673018,0.24503143583333334,0.24222259422578316,SCENARIO_MST
957,ST022__ST055,22,ST022,오이도박물관,55,ST055,해양생태과학관,1977.0,1.977,2.056726097058233,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,2.016046436,PRELIMINARY_90M,0.16495619524405508,0.486209613146989,0.486209613146989,0.0,0.33600773933333333,0.24679338693109437,SCENARIO_MST
534,ST011__ST050,11,ST011,배곧생명공원,50,ST050,시흥한라3차아파트,995.0,0.995,2.969355785245408,0.47264275,0.47264275,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.56995669,PRELIMINARY_90M,0.08302044221944097,0.3367733853144018,0.3367733853144018,0.47264275,0.09499278166666668,0.24685733980012736,SCENARIO_MST
820,ST019__ST020,19,ST019,시화병원,20,ST020,시화공업단지[왼쪽부근],1979.0,1.979,2.8736363843131483,0.422822321,0.422822321,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.548112375,PRELIMINARY_90M,0.16512307050479766,0.34799113953974325,0.34799113953974325,0.422822321,0.0913520625,0.2568221483861352,SCENARIO_MST
807,ST018__ST043,18,ST018,정왕역,43,ST043,시흥종합버스터미널,1406.0,1.406,2.6557306312689994,0.43367149,0.43367149,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.599226145,PRELIMINARY_90M,0.11731330830204423,0.3765442128150496,0.3765442128150496,0.43367149,0.09987102416666667,0.2568500088209401,SCENARIO_MST
466,ST010__ST026,10,ST010,은계호수공원,26,ST026,은계파크자이,1220.0,1.22,2.405341600576404,0.254629654,0.254629654,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.537591702,PRELIMINARY_90M,0.1017939090529829,0.41574136486907515,0.41574136486907515,0.254629654,0.2562652836666667,0.2571075528971811,SCENARIO_MST
1247,ST033__ST048,33,ST033,타원산업단지,48,ST048,정왕평생학습관 사거리,3608.0,3.608,2.731241808577759,0.220485387,0.220485387,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.925063471,PRELIMINARY_90M,0.30104297037964123,0.36613382120154736,0.36613382120154736,0.220485387,0.15417724516666667,0.2604598559369638,SCENARIO_MST
