pair_order,pair_id,from_order,from_station_id,from_station_name,to_order,to_station_id,to_station_name,w1_distance_m,distance_km,w2_average_lanes,w3_protection_proxy,w3_child_protection_proxy,w3_senior_protection_proxy,w3_disabled_protection_proxy,w3_classification,w4_average_absolute_grade_pct,w4_classification,distance_norm,lane_penalty_norm,protection_norm,slope_norm,scenario_cost,scenario,structure
1409,ST043__ST045,43,ST043,시흥종합버스터미널,45,ST045,시흥중앙도서관,671.0,0.671,3.1817228022763167,0.300402098,0.300402098,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.425583211,PRELIMINARY_90M,0.025579192145379383,0.35910616559669406,0.300402098,0.03381446955986759,0.17972548132548524,balanced,MST
209,ST004__ST054,4,ST004,배곧중심상가,54,ST054,시흥 프리미엄 아울렛,3518.0,3.518,3.9115620934849367,0.174673018,0.174673018,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.470188615,PRELIMINARY_90M,0.2707777107914908,0.14471160486108936,0.174673018,0.2071304016588043,0.19932318382784614,balanced,MST
1244,ST033__ST045,33,ST033,타원산업단지,45,ST045,시흥중앙도서관,3637.0,3.637,3.4781306841531268,0.249273043,0.249273043,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.487234376,PRELIMINARY_90M,0.28102661269485835,0.2720346165597639,0.249273043,0.04404333596822129,0.21159440205571087,balanced,MST
151,ST003__ST047,3,ST003,배곧한울공원,47,ST047,배곧2동행정복지센터,2142.0,2.142,2.998593533213879,0.082490603,0.082490603,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.45164868,PRELIMINARY_90M,0.15226939970717424,0.41290145953524826,0.082490603,0.20405434432339853,0.21292895164145526,balanced,MST
136,ST003__ST032,3,ST003,배곧한울공원,32,ST032,희망공원,2946.0,2.946,2.474419063810549,0.0,0.0,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.664390229,PRELIMINARY_90M,0.22151408147446386,0.5668807759001471,0.0,0.07343618773014575,0.21545776127618915,balanced,MST
1222,ST032__ST045,32,ST032,희망공원,45,ST045,시흥중앙도서관,3542.0,3.542,3.695161173181692,0.239589717,0.239589717,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.100349444,PRELIMINARY_90M,0.27284471621738005,0.20828064096267274,0.239589717,0.1457684554127718,0.21662088239820615,balanced,MST
1444,ST046__ST050,46,ST046,배곧1동행정복지센터,50,ST050,시흥한라3차아파트,2363.0,2.363,4.178737580648687,0.479447383,0.479447383,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.190735572,PRELIMINARY_90M,0.17130307467057102,0.06622724275592551,0.479447383,0.16076488943766587,0.2194356474660406,balanced,MST
1474,ST050__ST054,50,ST050,시흥한라3차아파트,54,ST054,시흥 프리미엄 아울렛,4969.0,4.969,4.404187534909858,0.286229319,0.286229319,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.464039357,PRELIMINARY_90M,0.3957454138317113,0.0,0.286229319,0.20611014618443493,0.22202121975403655,balanced,MST
1226,ST032__ST049,32,ST032,희망공원,49,ST049,거북섬 웨이브파크 정문,4499.0,4.499,3.070219818149316,0.042639664,0.042639664,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,0.994963213,PRELIMINARY_90M,0.35526655757471365,0.3918608193822274,0.042639664,0.12828327604626832,0.22951257925080235,balanced,MST
160,ST004__ST005,4,ST004,배곧중심상가,5,ST005,배곧중·고등학교,2591.0,2.591,3.612965583991951,0.346284637,0.346284637,0.0,0.0,PRELIMINARY_POINT_BUFFER_PROXY,1.174987484,PRELIMINARY_90M,0.19093962621651883,0.23242607606189314,0.346284637,0.15815204200260122,0.2319505953202533,balanced,MST
